Date,Open,High,Low,Close,Daily_Return,Volume
27/02/2018," Rp572,995 "," Rp573,382 "," Rp564,820 "," Rp566,024 ",-0.014221565,710
28/02/2018," Rp566,108 "," Rp568,518 "," Rp566,108 "," Rp566,151 ",0.000224165,58
01/03/2018," Rp565,010 "," Rp568,330 "," Rp561,301 "," Rp561,776 ",-0.007728354,43
02/03/2018," Rp573,156 "," Rp577,037 "," Rp573,156 "," Rp576,122 ",0.02553671,155
05/03/2018," Rp576,317 "," Rp577,362 "," Rp573,966 "," Rp573,966 ",-0.003741978,18
06/03/2018," Rp579,611 "," Rp584,874 "," Rp579,524 "," Rp584,874 ",0.019005412,18
07/03/2018," Rp584,998 "," Rp584,998 "," Rp579,708 "," Rp579,708 ",-0.008833139,27
08/03/2018," Rp579,695 "," Rp580,570 "," Rp577,288 "," Rp577,550 ",-0.00372186,62
09/03/2018," Rp577,591 "," Rp580,047 "," Rp575,924 "," Rp580,047 ",0.004323363,88
12/03/2018," Rp578,604 "," Rp578,604 "," Rp578,604 "," Rp578,604 ",-0.002487997,0
13/03/2018," Rp580,687 "," Rp580,687 "," Rp580,425 "," Rp580,687 ",0.003600332,13
14/03/2018," Rp576,091 "," Rp577,050 "," Rp576,091 "," Rp577,050 ",-0.00626424,19
15/03/2018," Rp573,738 "," Rp573,738 "," Rp573,738 "," Rp573,738 ",-0.005738429,0
16/03/2018," Rp570,903 "," Rp571,426 "," Rp570,903 "," Rp571,426 ",-0.004029829,34
19/03/2018," Rp572,872 "," Rp576,153 "," Rp571,953 "," Rp576,109 ",0.008195085,6
20/03/2018," Rp573,784 "," Rp573,784 "," Rp573,784 "," Rp573,784 ",-0.004036059,4
21/03/2018," Rp577,053 "," Rp584,264 "," Rp577,053 "," Rp580,703 ",0.012058238,34
22/03/2018," Rp582,273 "," Rp582,273 "," Rp582,273 "," Rp582,273 ",0.002704608,0
23/03/2018," Rp589,516 "," Rp592,194 "," Rp589,516 "," Rp592,194 ",0.017036965,8
26/03/2018," Rp593,707 "," Rp596,304 "," Rp592,210 "," Rp596,304 ",0.006941578,10
27/03/2018," Rp593,078 "," Rp593,211 "," Rp593,078 "," Rp593,211 ",-0.005188422,290889
